景点名称,景点地址,设施名称,设施类型,设施地址,距离（米）
天安门广场,东长安街,人民大会堂宾馆,酒店,西交民巷甲19号,353
天安门广场,东长安街,观旗宾馆(北京天安门广场店),酒店,前门西大街正阳市场1号楼(距离前门地铁站100米),450
天安门广场,东长安街,宜尚酒店(北京天安门广场前门地铁站店),酒店,前门大街甲2号(前门地铁站E2北口旁),452
天安门广场,东长安街,升旗宾馆(北京天安门广场前门地铁站店),酒店,前门大街甲2号(地铁2号线B口出即到),464
天安门广场,东长安街,国帅宾馆,酒店,前门西大街正阳市场2号楼(前门地铁站C西南口步行460米),492
天安门广场,东长安街,前门观旗宾馆(北京前门地铁站店),酒店,前门东大街18号(前门地铁站E2北口步行250米),519
天安门广场,东长安街,M·酒店(北京天安门广场前门地铁站店),酒店,前门大街2号B1-1层108A、2-3层,547
天安门广场,东长安街,朗丽兹酒店(北京天安门广场前门地铁站店),酒店,西河沿街39号(前门地铁站C西南口步行300米),526
天安门广场,东长安街,速8精选酒店(北京天安门前门西河沿店),酒店,前门西河沿街67号(前门地铁站C西南口步行400米),567
天安门广场,东长安街,无印良品酒店北京,酒店,煤市街廊房头条21号院北京坊W2号楼B1层,554
天安门广场,东长安街,如家商旅酒店(北京前门地铁站北京坊店),酒店,前门西河沿街114号(前门地铁站C西南口步行380米),601
天安门广场,东长安街,鑫龙宾馆(北京前门天安门广场店),酒店,前门大街甲2号3层(前门地铁站E2北口旁),441
天安门广场,东长安街,北京前门十二间四合院,酒店,煤市街西河沿大街100号(前门地铁站C西南口步行340米),554
天安门广场,东长安街,皓阳宾馆(北京前门天安门广场店),酒店,前门西大街正阳市场4号楼,586
天安门广场,东长安街,北京楠树草堂酒店(天安门广场前门地铁站店),酒店,西打磨厂街224号(前门地铁站G东南口步行170米),613
天安门广场,东长安街,人民大会堂宾馆·宴会厅,酒店,西交民巷与广场西侧路交叉口西180米,339
天安门广场,东长安街,橙芷·秋果酒店(北京天安门广场店),酒店,长巷二条1号1层101号2层3层,608
天安门广场,东长安街,皓阳晚安酒店,酒店,前门西大街正阳市场4号楼北京市皓阳宾馆一层3号,598
天安门广场,东长安街,前门佳合宾馆,酒店,前门东大街16号地铁2号线-前门站,573
